order_id,customer_id,order_date,order_status,payment_method,shipping_cost
80,501,2025-01-30,Completed,Card,20.42
81,480,2025-05-15,Completed,Bank Transfer,21.49
82,1143,2024-03-19,Completed,Mobile Money,18.66
83,501,2025-05-20,Completed,Card,18.74
84,1433,2024-04-03,Completed,Card,20.03
85,750,2025-01-18,Completed,PayPal,13.47
86,1896,2025-03-13,Completed,Bank Transfer,4.62
87,2420,2025-03-29,Completed,Bank Transfer,7.51
88,528,2025-04-03,Completed,Mobile Money,16.57
89,1445,2025-11-06,Completed,Bank Transfer,2.87
90,471,2024-11-01,Completed,Mobile Money,24.94
91,867,2024-03-10,Completed,Card,18.28
92,255,2024-05-29,Completed,Bank Transfer,10.54
93,770,2025-01-30,Completed,Card,21.11
94,280,2024-11-02,Completed,Card,13.84
95,519,2025-10-03,Completed,PayPal,14.05
96,1766,2024-06-29,Completed,Mobile Money,23.58
97,196,2024-05-10,Completed,PayPal,9.76
98,1203,2025-07-02,Completed,Bank Transfer,6.3
99,1102,2024-05-21,Completed,Bank Transfer,22.72
100,2174,2024-05-29,Completed,Bank Transfer,21.99
101,973,2024-08-09,Completed,Card,10.87
102,1336,2024-08-01,Completed,Cash on Delivery,14.7
103,144,2025-07-10,Completed,Cash on Delivery,13.49
104,1102,2025-05-07,Completed,Bank Transfer,6.08
105,899,2024-04-03,Completed,PayPal,20.33
106,1968,2025-06-04,Completed,Card,19.41
107,966,2024-02-09,Cancelled,Card,5.76
108,1552,2024-03-07,Completed,Mobile Money,9.71
109,400,2024-05-31,Completed,Card,24.87
110,1118,2024-01-30,Completed,Bank Transfer,11.56
111,1067,2024-01-04,Completed,Mobile Money,19.31
112,2481,2024-02-09,Completed,Bank Transfer,7.99
113,2419,2024-12-24,Completed,Mobile Money,10.13
114,324,2024-01-19,Completed,Bank Transfer,22.74
115,280,2024-06-02,Completed,Card,16.56
116,1224,2025-01-18,Completed,Cash on Delivery,3.33
117,1472,2024-09-27,Completed,PayPal,15.53
118,1063,2025-04-17,Completed,Mobile Money,17.16
119,1695,2024-05-04,Completed,Card,5.39
120,1348,2025-11-10,Completed,Bank Transfer,14.55
121,2160,2024-11-01,Completed,Bank Transfer,23.79
122,1814,2024-04-15,Completed,Card,13.44
123,962,2025-04-01,Completed,PayPal,7.2
124,134,2024-01-18,Completed,Cash on Delivery,17.35
125,2099,2025-05-18,Completed,Mobile Money,24.84
126,2195,2025-06-24,Completed,Card,22.72
127,243,2025-12-16,Completed,Card,14.71
128,223,2024-07-09,Completed,Card,4.04
129,2071,2025-05-16,Completed,Cash on Delivery,4.12
130,2494,2024-07-29,Cancelled,Card,13.43
131,1054,2025-08-26,Completed,PayPal,18.51
132,509,2025-10-31,Completed,Bank Transfer,6.04
133,1296,2025-06-18,Completed,Mobile Money,13.97
134,2454,2025-02-26,Completed,Card,20.09
135,2419,2025-06-08,Completed,Card,24.47
136,814,2025-11-23,Completed,Bank Transfer,24.69
137,117,2024-08-18,Completed,Bank Transfer,3.1
138,392,2024-12-03,Completed,Cash on Delivery,21.52
139,2279,2024-05-16,Completed,Bank Transfer,22.14
140,338,2025-08-16,Completed,Card,6.48
141,1072,2024-11-09,Completed,Card,10.73
142,2348,2025-03-24,Completed,PayPal,13.57
143,1653,2024-07-08,Completed,Mobile Money,12.96
144,2304,2025-06-07,Completed,Card,4.02
145,2167,2025-09-15,Completed,Bank Transfer,9.84
146,317,2025-09-27,Completed,Bank Transfer,24.27
147,1333,2025-11-15,Returned,Card,11.38
148,200,2024-10-20,Completed,Bank Transfer,24.99
149,322,2024-04-11,Completed,Card,17.11
150,2228,2024-07-12,Completed,Cash on Delivery,9.91
151,1187,2025-12-24,Completed,Mobile Money,17.3
152,1610,2024-12-23,Completed,Card,3.88
153,2052,2024-12-04,Completed,Card,13.61
154,773,2024-04-17,Completed,Card,7.77
155,2413,2024-09-18,Completed,Mobile Money,10.62
156,286,2025-06-01,Completed,Card,20.52
157,480,2024-11-17,Completed,Mobile Money,19.85
158,2011,2025-05-31,Completed,PayPal,8.86
159,1273,2024-10-26,Completed,Bank Transfer,18.92
160,1033,2024-11-17,Completed,Card,23.09
161,507,2025-12-07,Completed,Bank Transfer,16.97
162,1357,2024-06-28,Completed,Bank Transfer,18.43
163,871,2024-03-08,Completed,Card,7.5
164,1415,2025-08-10,Completed,Bank Transfer,17.6
165,203,2024-07-01,Completed,Card,20.7
166,1132,2025-04-14,Completed,PayPal,8.71
167,1685,2025-08-07,Completed,Card,5.33
168,1008,2025-05-18,Completed,Card,9.98
169,1771,2024-03-10,Completed,Bank Transfer,9.3
170,2067,2024-09-30,Completed,Bank Transfer,13.41
171,1094,2024-01-24,Completed,Cash on Delivery,7.61
172,2199,2025-12-13,Completed,Card,12.56
173,703,2024-01-25,Completed,Bank Transfer,23.82
174,1782,2024-03-21,Completed,Card,13.29
175,1652,2025-03-29,Completed,Card,13.77
176,129,2025-04-27,Completed,Bank Transfer,22.98
177,1585,2025-11-04,Completed,Bank Transfer,18.06
178,1211,2025-01-09,Completed,Bank Transfer,5.82
179,1018,2024-06-27,Completed,Mobile Money,3.76
180,1251,2025-03-06,Completed,Card,13.62
181,1411,2025-03-21,Completed,PayPal,20.44
182,2191,2025-05-17,Returned,Card,24.67
183,1844,2025-02-09,Completed,Mobile Money,6.64
184,871,2025-06-28,Completed,Card,16.07
185,1893,2024-09-07,Completed,Cash on Delivery,9.05
186,285,2024-06-15,Completed,Card,10.5
187,1241,2024-09-28,Completed,Card,12.91
188,1284,2024-10-08,Completed,Mobile Money,5.7
189,516,2024-06-23,Completed,PayPal,15.6
190,1959,2024-01-20,Completed,Cash on Delivery,19.95
191,847,2024-04-09,Completed,Cash on Delivery,19.75
192,996,2024-10-12,Completed,PayPal,8.66
193,579,2024-10-02,Completed,Bank Transfer,7.55
194,61,2025-01-13,Completed,Card,16.63
195,352,2024-10-06,Cancelled,Bank Transfer,9.89
196,1623,2025-09-08,Completed,PayPal,18.35
197,1027,2025-06-09,Completed,Mobile Money,9.25
198,1933,2025-02-26,Completed,Card,19.74
199,824,2024-10-28,Completed,Cash on Delivery,16.16
200,2222,2025-07-15,Completed,Bank Transfer,7.27
201,757,2025-05-21,Completed,Card,19.07
202,1718,2024-01-26,Completed,Bank Transfer,7.49
203,915,2024-09-29,Completed,Card,11.7
204,1371,2024-05-21,Completed,Mobile Money,23.84
205,2393,2024-03-23,Completed,Bank Transfer,12.59
206,1703,2025-11-17,Completed,PayPal,12.14
207,783,2024-07-24,Completed,Bank Transfer,9.36
208,1572,2024-07-28,Completed,Card,24.2
209,1946,2024-01-04,Completed,Card,23.78
210,994,2024-05-14,Completed,Mobile Money,19.65
211,77,2025-12-11,Completed,Bank Transfer,2.75
212,1106,2025-04-13,Completed,Card,18.56
213,866,2025-04-17,Completed,Cash on Delivery,7.52
214,334,2024-10-09,Completed,Bank Transfer,22.76
215,317,2024-08-16,Completed,Mobile Money,21.42
216,318,2024-10-11,Completed,Mobile Money,3.93
217,139,2025-12-22,Completed,Card,8.95
218,1472,2024-10-12,Completed,Mobile Money,9.63
219,761,2025-05-31,Completed,Mobile Money,21.7
220,2168,2025-06-09,Completed,Mobile Money,2.6
221,995,2025-05-30,Completed,Card,6.05
222,2043,2025-06-18,Completed,Card,8.14
223,418,2025-08-14,Completed,Card,19.28
224,1078,2024-05-05,Completed,PayPal,14.6
225,843,2025-02-11,Completed,Cash on Delivery,17.06
226,1357,2024-01-11,Completed,Bank Transfer,24.86
227,1709,2024-01-02,Cancelled,Card,14.41
228,2153,2025-05-31,Returned,Mobile Money,12.04
229,1794,2025-06-04,Completed,Card,4.58
230,1841,2025-05-08,Completed,Mobile Money,8.97
231,338,2024-05-09,Completed,Card,23.75
232,185,2025-08-21,Completed,Card,6.9
233,491,2024-07-21,Completed,Card,14.65
234,726,2025-07-21,Completed,Cash on Delivery,15.75
235,2201,2025-03-08,Completed,PayPal,3.77
236,1446,2024-10-14,Completed,Cash on Delivery,13.9
237,1319,2024-09-04,Completed,Bank Transfer,3.9
238,827,2025-04-21,Completed,Bank Transfer,21.11
239,1216,2024-05-24,Completed,Bank Transfer,2.91
240,648,2024-04-06,Completed,Card,10.85
241,623,2025-02-13,Completed,Card,4.43
242,2121,2025-03-04,Completed,Card,22.13
243,1570,2024-06-30,Completed,Card,9.11
244,868,2024-03-09,Completed,Card,7.79
245,990,2025-11-24,Completed,Bank Transfer,3.52
246,338,2025-09-18,Completed,Bank Transfer,20.71
247,2021,2025-10-20,Completed,Bank Transfer,6.9
248,1132,2025-05-05,Completed,Card,10.21
249,1947,2025-06-11,Completed,Card,5.18
250,2007,2025-01-24,Completed,Card,17.19
251,1010,2024-04-23,Completed,Card,23.38
252,1284,2024-11-02,Completed,Card,11.35
253,1624,2025-09-14,Completed,Bank Transfer,15.4
254,1813,2025-02-08,Completed,Bank Transfer,10.11
255,1882,2025-11-15,Completed,Card,5.16
256,2378,2025-04-29,Completed,Card,11.6
257,1145,2024-08-16,Completed,Card,12.25
258,1050,2024-08-03,Completed,Card,7.37
259,630,2024-10-15,Completed,Card,4.57
260,1987,2024-01-09,Completed,Card,12.49
261,2193,2025-06-24,Completed,Mobile Money,7.75
262,1438,2025-03-19,Completed,Mobile Money,16.51
263,406,2025-01-10,Completed,Cash on Delivery,20.15
264,107,2024-11-11,Completed,Card,24.28
265,531,2025-01-11,Completed,Bank Transfer,5.54
266,606,2024-04-19,Completed,Cash on Delivery,15.11
267,437,2024-12-24,Completed,Card,6.07
268,1452,2024-03-23,Completed,Bank Transfer,24.51
269,1744,2025-11-22,Completed,Bank Transfer,18.54
270,2477,2024-09-30,Completed,Card,18.13
271,194,2024-02-16,Completed,Bank Transfer,19.34
272,118,2024-11-12,Completed,Card,22.36
273,2412,2025-03-30,Completed,Card,18.64
274,678,2024-07-04,Completed,Bank Transfer,12.55
275,1475,2024-03-13,Completed,Card,11.88
276,2490,2024-06-19,Completed,Bank Transfer,8.01
277,602,2024-10-25,Completed,Cash on Delivery,15.84
278,1367,2024-03-20,Completed,Bank Transfer,15.09
279,829,2025-09-07,Completed,Card,24.36
280,1644,2025-12-10,Returned,PayPal,17.6
281,5,2025-08-14,Completed,Mobile Money,13.76
282,1589,2024-05-05,Completed,Card,23.53
283,2369,2024-02-18,Cancelled,Mobile Money,22.36
284,1934,2024-03-22,Returned,Card,11.93
285,49,2024-09-15,Completed,Card,3.21
286,2123,2024-05-20,Completed,Card,17.88
287,1138,2025-06-08,Completed,Cash on Delivery,17.51
288,47,2024-02-16,Completed,Bank Transfer,5.78
289,1310,2024-08-13,Completed,Card,5.57
290,442,2025-02-14,Completed,Bank Transfer,12.79
291,2331,2024-07-25,Completed,Card,19.91
292,24,2024-05-04,Completed,Bank Transfer,15.33
293,671,2025-02-23,Cancelled,Bank Transfer,9.7
294,1068,2025-10-01,Completed,Card,21.26
295,782,2025-08-11,Completed,PayPal,14.62
296,1416,2025-04-27,Completed,Card,23.98
297,1195,2024-07-01,Returned,Card,5.96
298,704,2024-10-20,Completed,Card,14.47
299,1256,2025-07-03,Completed,Card,18.77
300,1355,2025-07-18,Completed,Card,9.2
301,1038,2025-11-25,Completed,Card,24.22
302,477,2025-09-10,Completed,Card,11.77
303,2349,2024-03-13,Completed,Bank Transfer,19.45
304,833,2025-10-17,Completed,Card,8.1
305,1371,2024-12-02,Completed,Mobile Money,12.94
306,113,2025-08-30,Completed,PayPal,14.92
307,997,2024-10-23,Completed,Bank Transfer,22.25
308,421,2024-04-28,Completed,Bank Transfer,18.22
309,827,2024-01-20,Completed,PayPal,17.09
310,1753,2024-11-05,Completed,Bank Transfer,5.2
311,926,2024-04-22,Completed,Bank Transfer,19.73
312,2257,2024-11-17,Completed,Bank Transfer,9.06
313,1102,2025-08-18,Completed,Card,9.3
314,1982,2024-07-22,Cancelled,PayPal,22.77
315,208,2025-04-02,Completed,PayPal,24.2
316,197,2025-02-25,Completed,PayPal,22.01
317,1558,2025-04-05,Completed,Card,22.77
318,1243,2025-01-18,Completed,Card,21.83
319,2333,2025-07-01,Completed,Mobile Money,20.83
320,1038,2024-05-15,Completed,Card,4.81
321,2228,2024-05-20,Completed,PayPal,10.39
322,1447,2024-03-22,Completed,Card,21.06
323,267,2024-05-09,Completed,PayPal,3.85
324,1468,2024-09-09,Completed,Card,13.91
325,683,2025-02-18,Completed,Card,10.48
326,2490,2025-07-24,Completed,PayPal,8.77
327,105,2024-01-03,Completed,Card,23.0
328,569,2025-05-31,Completed,Card,8.7
329,2113,2025-09-25,Completed,Cash on Delivery,5.67
330,2190,2025-08-20,Completed,Card,15.4
331,209,2024-08-30,Completed,Cash on Delivery,11.31
332,977,2024-09-27,Completed,Bank Transfer,10.3
333,950,2025-12-10,Completed,Bank Transfer,17.38
334,2364,2024-03-21,Completed,Card,8.45
335,736,2024-06-18,Completed,PayPal,17.6
336,2017,2024-11-14,Completed,Cash on Delivery,13.51
337,1299,2025-01-21,Completed,Mobile Money,3.57
338,2002,2024-11-05,Completed,Mobile Money,19.85
339,1560,2024-05-27,Completed,Card,14.91
340,2434,2024-11-04,Completed,Card,8.87
341,160,2024-02-07,Completed,Card,7.01
342,2066,2025-10-09,Completed,Bank Transfer,15.5
343,413,2024-12-08,Completed,Bank Transfer,9.49
344,1455,2024-10-31,Cancelled,Bank Transfer,22.18
345,763,2025-07-24,Completed,Bank Transfer,7.4
346,270,2025-07-17,Completed,PayPal,18.32
347,1805,2024-06-28,Completed,PayPal,4.77
348,1812,2025-11-06,Completed,Card,21.4
349,2338,2024-06-09,Completed,Cash on Delivery,24.36
350,516,2024-04-04,Completed,Bank Transfer,23.18
351,771,2024-06-11,Completed,Card,24.07
352,456,2024-05-29,Completed,PayPal,20.05
353,318,2025-02-03,Completed,PayPal,15.07
354,434,2025-06-04,Completed,Bank Transfer,4.38
355,1922,2025-04-25,Completed,PayPal,19.99
356,1054,2024-05-14,Completed,Card,8.75
357,133,2024-01-21,Completed,Mobile Money,12.62
358,2077,2025-03-19,Completed,Mobile Money,20.88
359,493,2025-03-11,Completed,Card,11.09
360,109,2025-09-05,Completed,Mobile Money,13.8
361,244,2025-01-11,Completed,PayPal,22.44
362,772,2024-05-18,Completed,Bank Transfer,6.04
363,1377,2025-12-25,Cancelled,PayPal,7.92
364,2480,2025-07-03,Completed,Bank Transfer,17.9
365,291,2025-05-04,Completed,PayPal,8.68
366,777,2025-12-16,Completed,Mobile Money,3.01
367,1899,2025-10-27,Completed,Card,6.21
368,684,2025-06-11,Completed,Mobile Money,6.57
369,974,2025-10-03,Completed,Mobile Money,15.12
370,1052,2025-10-11,Completed,PayPal,16.05
371,240,2024-06-28,Cancelled,Mobile Money,8.21
372,413,2024-06-25,Completed,Card,20.99
373,332,2025-10-16,Completed,Bank Transfer,18.86
374,2243,2025-12-07,Completed,Mobile Money,21.02
375,1409,2025-08-17,Completed,PayPal,24.59
376,257,2024-12-27,Completed,Cash on Delivery,12.47
377,827,2025-12-14,Completed,Card,4.9
378,119,2024-07-11,Completed,Cash on Delivery,14.09
379,1624,2024-07-18,Completed,Bank Transfer,12.3
380,1984,2024-11-09,Completed,PayPal,24.81
381,448,2025-03-30,Completed,Card,23.25
382,2481,2025-08-20,Completed,Card,15.69
383,1179,2024-01-13,Completed,Card,5.53
384,1744,2024-10-12,Completed,Bank Transfer,3.45
385,147,2024-01-20,Completed,Mobile Money,9.08
386,2361,2024-07-21,Completed,Cash on Delivery,14.16
387,794,2024-08-17,Completed,Bank Transfer,4.58
388,1827,2024-01-06,Returned,Bank Transfer,10.99
389,2330,2025-08-14,Completed,Mobile Money,21.73
390,827,2025-04-03,Completed,Cash on Delivery,9.89
391,2461,2025-06-05,Completed,Card,19.14
392,2465,2025-11-06,Completed,Card,9.31
393,485,2024-05-16,Completed,Card,8.56
394,1887,2024-07-30,Completed,Card,7.37
395,1263,2025-09-23,Completed,Card,16.81
396,1364,2024-08-03,Completed,Card,17.6
397,2343,2024-06-10,Completed,PayPal,20.35
398,1502,2024-10-06,Completed,Bank Transfer,19.63
399,41,2025-07-18,Completed,Mobile Money,6.63
400,371,2025-09-10,Completed,Card,23.66
401,888,2024-06-30,Completed,Bank Transfer,19.74
402,623,2025-08-01,Completed,Bank Transfer,18.13
403,1718,2025-04-08,Completed,Card,24.23
404,337,2025-08-24,Completed,Card,8.12
405,167,2024-10-20,Completed,Mobile Money,9.79
406,670,2024-01-04,Completed,Mobile Money,4.84
407,461,2024-12-12,Returned,Bank Transfer,20.14
408,1733,2024-06-29,Completed,Card,17.79
409,218,2025-09-24,Completed,Cash on Delivery,11.32
410,1059,2024-11-26,Completed,Cash on Delivery,16.51
411,2174,2024-08-06,Completed,Card,21.24
412,251,2025-10-18,Completed,PayPal,21.54
413,364,2025-09-28,Completed,PayPal,11.37
414,1559,2024-10-21,Completed,Bank Transfer,10.87
415,92,2024-04-15,Completed,Cash on Delivery,17.32
416,2001,2025-11-07,Completed,Card,8.86
417,1639,2024-12-07,Completed,Bank Transfer,3.26
418,338,2024-02-19,Completed,Card,10.8
419,1758,2025-12-25,Completed,Mobile Money,8.59
420,1572,2025-03-05,Completed,Bank Transfer,20.69
421,209,2025-10-15,Completed,Mobile Money,16.3
422,132,2025-09-20,Completed,Card,15.99
423,1826,2025-04-18,Completed,Card,14.71
424,1897,2024-05-30,Completed,PayPal,17.57
425,1409,2024-12-29,Completed,Card,24.67
426,2440,2025-11-24,Completed,PayPal,6.58
427,386,2025-02-05,Completed,Bank Transfer,7.82
428,858,2024-12-10,Completed,Bank Transfer,5.85
429,857,2024-03-03,Completed,Card,17.48
430,2082,2025-07-02,Completed,Bank Transfer,7.98
431,1846,2024-04-08,Completed,Card,21.19
432,1309,2024-11-07,Completed,Card,12.59
433,2286,2025-12-08,Completed,Card,17.08
434,1366,2024-07-01,Completed,Card,11.1
435,2111,2024-01-05,Completed,Bank Transfer,19.08
436,1282,2024-11-25,Cancelled,PayPal,18.62
437,298,2024-12-05,Returned,Card,10.98
438,648,2025-06-27,Completed,Mobile Money,10.3
439,2109,2025-06-24,Completed,PayPal,20.32
440,2359,2025-06-05,Completed,Bank Transfer,14.8
441,2459,2025-08-28,Completed,PayPal,21.3
442,856,2025-02-19,Completed,Bank Transfer,5.08
443,368,2024-04-18,Completed,Card,22.81
444,715,2025-03-28,Completed,Card,17.08
445,1938,2025-04-10,Completed,Cash on Delivery,6.09
446,584,2024-12-03,Completed,Card,3.65
447,1395,2025-04-01,Completed,Card,9.61
448,45,2024-02-08,Cancelled,PayPal,22.47
449,1954,2025-01-03,Completed,Bank Transfer,3.69
450,51,2025-02-09,Completed,Card,13.57
451,1328,2024-11-20,Completed,Card,21.86
452,1922,2025-09-03,Completed,Card,23.82
453,715,2024-02-05,Completed,Mobile Money,17.45
454,1731,2024-08-11,Completed,Mobile Money,7.21
455,2364,2025-04-09,Completed,PayPal,10.41
456,499,2025-04-30,Completed,Card,21.16
457,33,2025-08-12,Completed,Card,7.39
458,595,2024-08-27,Completed,Card,5.52
459,888,2025-05-18,Completed,Card,8.93
460,519,2025-07-18,Completed,Card,21.8
461,511,2025-11-24,Completed,PayPal,14.22
462,1573,2024-12-22,Completed,Card,19.73
463,1723,2024-10-10,Completed,Card,13.24
464,1139,2025-01-18,Completed,Mobile Money,9.06
465,1031,2025-10-18,Completed,Card,4.84
466,312,2024-03-02,Completed,Mobile Money,11.31
467,1963,2025-12-05,Completed,Card,12.96
468,863,2025-06-26,Completed,Bank Transfer,19.23
469,1357,2024-08-06,Returned,Bank Transfer,12.12
470,997,2025-09-16,Completed,Bank Transfer,10.62
471,1902,2024-07-09,Completed,Card,14.04
472,1744,2025-02-03,Completed,Bank Transfer,11.86
473,2443,2024-09-17,Completed,Card,17.56
474,1944,2024-06-02,Completed,Bank Transfer,24.44
475,289,2024-12-20,Completed,Card,8.9
476,1133,2025-07-01,Completed,Bank Transfer,21.5
477,2384,2025-11-30,Completed,Card,19.58
478,1853,2025-11-11,Completed,Card,17.8
479,51,2025-06-13,Cancelled,Card,23.22
480,1215,2025-11-19,Completed,Mobile Money,15.89
481,2119,2025-03-28,Completed,Bank Transfer,14.4
482,972,2025-04-25,Completed,Bank Transfer,17.3
483,1476,2024-02-24,Completed,PayPal,23.93
484,1390,2024-02-03,Completed,Card,24.87
485,2264,2024-03-14,Completed,Card,7.11
486,486,2025-05-16,Completed,Mobile Money,11.96
487,1882,2025-09-24,Completed,Cash on Delivery,19.85
488,1729,2025-08-13,Completed,Card,24.48
489,1337,2025-04-22,Returned,Bank Transfer,16.61
490,813,2025-08-22,Completed,PayPal,3.93
491,1961,2025-02-25,Completed,Card,5.25
492,1145,2025-04-21,Completed,PayPal,11.6
493,151,2024-03-31,Completed,Bank Transfer,12.67
494,148,2024-09-26,Completed,Bank Transfer,10.08
495,307,2025-10-12,Completed,PayPal,24.17
496,378,2025-11-30,Completed,Card,8.06
497,305,2025-04-28,Completed,Bank Transfer,17.81
498,2243,2025-04-16,Completed,Card,4.14
499,674,2024-01-28,Completed,PayPal,13.4
500,2272,2024-05-11,Completed,Bank Transfer,20.26
501,1172,2024-09-29,Completed,Bank Transfer,2.8
502,1646,2025-07-29,Completed,Bank Transfer,23.54
503,1834,2025-02-15,Returned,Card,18.25
504,1598,2024-11-30,Completed,Card,19.45
505,2158,2025-08-10,Completed,Bank Transfer,8.85
506,2291,2025-02-17,Completed,Mobile Money,9.91
507,1824,2025-11-22,Cancelled,Card,21.16
508,828,2025-06-24,Completed,PayPal,20.16
509,1333,2024-02-22,Completed,Mobile Money,23.55
510,2000,2025-03-02,Completed,Bank Transfer,8.86
511,1027,2025-09-10,Completed,Card,16.31
512,98,2024-01-13,Completed,Mobile Money,8.0
513,119,2025-04-30,Completed,Bank Transfer,11.11
514,792,2024-03-02,Completed,Card,8.16
515,305,2024-07-22,Completed,Bank Transfer,16.66
516,1589,2024-02-15,Completed,Card,4.7
517,682,2024-06-26,Completed,Card,5.15
518,2480,2025-03-19,Completed,Mobile Money,7.73
519,1052,2024-12-03,Completed,Bank Transfer,16.61
520,579,2025-10-09,Completed,PayPal,2.59
521,1837,2024-05-17,Returned,Mobile Money,13.42
522,1753,2025-09-09,Completed,Card,15.04
523,774,2025-02-20,Completed,Cash on Delivery,8.05
524,580,2024-01-09,Completed,Cash on Delivery,13.84
525,960,2024-05-01,Completed,Cash on Delivery,5.39
526,1233,2025-02-15,Completed,Bank Transfer,15.86
527,1459,2025-03-30,Completed,Card,4.49
528,5,2024-01-19,Completed,Card,14.49
529,1170,2024-11-02,Completed,Bank Transfer,14.54
530,216,2025-01-24,Completed,Card,14.15
531,384,2024-12-14,Completed,Cash on Delivery,17.32
532,546,2024-04-22,Completed,Card,11.5
533,454,2025-01-20,Completed,Bank Transfer,8.31
534,834,2024-12-25,Completed,Mobile Money,11.21
535,1603,2025-07-09,Completed,Bank Transfer,7.47
536,871,2024-04-26,Completed,PayPal,7.51
537,268,2025-10-02,Completed,Card,15.84
538,1246,2025-11-27,Completed,Bank Transfer,17.29
539,1885,2025-05-12,Completed,Card,15.16
540,561,2024-04-14,Completed,Bank Transfer,10.61
541,973,2025-10-27,Completed,Bank Transfer,13.11
542,2490,2024-07-22,Completed,PayPal,9.19
543,510,2024-07-02,Completed,PayPal,4.34
544,354,2025-02-09,Completed,Bank Transfer,21.88
545,15,2025-08-22,Completed,Card,5.36
546,1216,2024-03-24,Completed,Bank Transfer,22.31
547,697,2025-11-27,Completed,Bank Transfer,3.56
548,2056,2024-01-14,Completed,PayPal,13.19
549,2344,2024-06-28,Completed,Bank Transfer,24.06
550,406,2025-03-04,Completed,Card,20.09
551,61,2024-07-26,Completed,Card,16.63
552,411,2024-05-28,Completed,Bank Transfer,8.61
553,2403,2024-02-03,Completed,Cash on Delivery,4.66
