product_id,product_name,category,subcategory,unit_cost,unit_price
49,Face Cleanser 1,Beauty,Personal Care,101.48,146.44
50,Face Cleanser 2,Beauty,Personal Care,29.35,48.53
51,Moisturizer 1,Beauty,Personal Care,163.5,262.24
52,Moisturizer 2,Beauty,Personal Care,40.42,54.45
53,Sunscreen 1,Beauty,Personal Care,47.63,74.38
54,Sunscreen 2,Beauty,Personal Care,141.34,193.26
55,Hair Dryer 1,Beauty,Personal Care,152.54,241.95
56,Hair Dryer 2,Beauty,Personal Care,49.59,63.16
57,Body Lotion 1,Beauty,Personal Care,73.22,93.61
58,Body Lotion 2,Beauty,Personal Care,53.18,91.45
59,Perfume 1,Beauty,Personal Care,104.53,154.99
60,Perfume 2,Beauty,Personal Care,34.95,55.85
61,Shampoo 1,Beauty,Personal Care,155.67,241.98
62,Shampoo 2,Beauty,Personal Care,70.76,89.47
63,Makeup Kit 1,Beauty,Personal Care,77.24,122.22
64,Makeup Kit 2,Beauty,Personal Care,85.44,122.08
65,Notebook 1,Office,Office Supplies,93.92,171.9
66,Notebook 2,Office,Office Supplies,87.89,154.5
67,Ballpoint Pen Set 1,Office,Office Supplies,92.25,128.1
68,Ballpoint Pen Set 2,Office,Office Supplies,155.7,270.21
69,Desk Organizer 1,Office,Office Supplies,139.72,234.64
70,Desk Organizer 2,Office,Office Supplies,153.05,207.16
71,Office Chair 1,Office,Office Supplies,5.09,7.44
72,Office Chair 2,Office,Office Supplies,99.04,174.88
73,Monitor Stand 1,Office,Office Supplies,49.15,75.61
74,Monitor Stand 2,Office,Office Supplies,90.75,128.24
75,Stapler 1,Office,Office Supplies,42.53,72.81
76,Stapler 2,Office,Office Supplies,106.78,180.62
77,Whiteboard 1,Office,Office Supplies,39.3,68.48
78,Whiteboard 2,Office,Office Supplies,38.99,51.68
79,Calculator 1,Office,Office Supplies,36.07,55.25
80,Calculator 2,Office,Office Supplies,179.66,289.75
81,Yoga Mat 1,Sports,Fitness & Sports,110.43,158.7
82,Yoga Mat 2,Sports,Fitness & Sports,102.33,129.94
83,Football 1,Sports,Fitness & Sports,189.99,267.74
84,Football 2,Sports,Fitness & Sports,161.53,231.65
85,Running Shoes 1,Sports,Fitness & Sports,14.26,20.78
86,Running Shoes 2,Sports,Fitness & Sports,25.89,44.3
87,Resistance Bands 1,Sports,Fitness & Sports,43.81,61.14
88,Resistance Bands 2,Sports,Fitness & Sports,174.72,278.73
89,Dumbbells 1,Sports,Fitness & Sports,158.87,291.13
90,Dumbbells 2,Sports,Fitness & Sports,228.72,315.34
91,Sports Bag 1,Sports,Fitness & Sports,147.37,271.4
92,Sports Bag 2,Sports,Fitness & Sports,45.78,66.53
93,Skipping Rope 1,Sports,Fitness & Sports,38.37,66.24
94,Skipping Rope 2,Sports,Fitness & Sports,99.37,183.55
95,Fitness Tracker 1,Sports,Fitness & Sports,89.03,130.8
96,Fitness Tracker 2,Sports,Fitness & Sports,90.78,164.56
